Year,Month,Day,HeatIndex
2014,12,6,22
2014,12,7,22
2014,12,8,23
2014,12,9,23
2014,12,10,26
2014,12,11,26
2014,12,12,28
2014,12,13,24
2014,12,14,23
2014,12,15,25
2014,12,16,26
2014,12,17,23
2014,12,18,22
2014,12,19,23
2014,12,20,25
2014,12,21,25
2014,12,22,23
2014,12,23,23
2014,12,24,22
2014,12,25,22
2014,12,26,23
2014,12,27,23
2014,12,28,25
2014,12,29,24
2014,12,30,21
2014,12,31,21
2015,1,1,20
2015,1,2,22
2015,1,3,22
2015,1,4,24
2015,1,5,24
2015,1,6,23
2015,1,7,22
2015,1,8,22
2015,1,9,21
2015,1,10,21
2015,1,11,23
2015,1,12,23
2015,1,13,24
2015,1,14,23
2015,1,15,24
2015,1,16,23
2015,1,17,20
2015,1,18,19
2015,1,19,26
2015,1,20,25
2015,1,21,29
2015,1,22,24
2015,1,23,20
2015,1,24,21
2015,1,25,24
2015,1,26,24
2015,1,27,24
2015,1,28,26
2015,1,29,23
2015,1,30,24
2015,1,31,23
2015,2,1,22
2015,2,2,22
2015,2,3,23
2015,2,4,23
2015,2,5,25
2015,2,6,25
2015,2,7,26
2015,2,8,25
2015,2,9,25
2015,2,10,24
2015,2,11,23
2015,2,12,26
2015,2,13,23
2015,2,14,22
2015,2,15,25
2015,2,16,23
2015,2,17,25
2015,2,18,23
2015,2,19,22
2015,2,20,21
2015,2,21,23
2015,2,22,25
2015,2,23,24
2015,2,24,26
2015,2,25,24
2015,2,26,25
2015,2,27,25
2015,2,28,25
2015,3,1,26
2015,3,2,25
2015,3,3,26
2015,3,4,26
2015,3,5,25
2015,3,6,27
2015,3,7,28
2015,3,8,27
2015,3,9,26
2015,3,10,24
2015,3,11,21
2015,3,12,25
2015,3,13,22
2015,3,14,24
2015,3,15,25
2015,3,16,23
2015,3,17,24
2015,3,18,25
2015,3,19,30
2015,3,20,33
2015,3,21,28
2015,3,22,25
2015,3,23,24
2015,3,24,26
2015,3,25,24
2015,3,26,25
2015,3,27,25
2015,3,28,26
2015,3,29,28
2015,3,30,27
2015,3,31,29
2015,4,1,27
2015,4,2,26
2015,4,3,29
2015,4,4,30
2015,4,5,27
2015,4,6,30
2015,4,7,25
2015,4,8,26
2015,4,9,25
2015,4,10,25
2015,4,11,27
2015,4,12,29
2015,4,13,32
2015,4,14,30
2015,4,15,26
2015,4,16,30
2015,4,17,29
2015,4,18,29
2015,4,19,33
2015,4,20,34
2015,4,21,32
2015,4,22,29
2015,4,23,26
2015,4,24,29
2015,4,25,29
2015,4,26,31
2015,4,27,30
2015,4,28,35
2015,4,29,33
2015,4,30,33
2015,5,1,33
2015,5,2,33
2015,5,3,32
2015,5,4,30
2015,5,5,34
2015,5,6,33
2015,5,7,33
2015,5,8,32
2015,5,9,34
2015,5,10,30
2015,5,11,35
2015,5,12,34
2015,5,13,29
2015,5,14,31
2015,5,15,31
2015,5,16,32
2015,5,17,32
2015,5,18,30
2015,5,19,36
2015,5,20,33
2015,5,21,35
2015,5,22,36
2015,5,23,35
2015,5,24,35
2015,5,25,38
2015,5,26,35
2015,5,27,33
2015,5,28,33
2015,5,29,34
2015,5,30,34
2015,5,31,39
2015,6,1,32
2015,6,2,32
2015,6,3,34
2015,6,4,36
2015,6,5,29
2015,6,6,32
2015,6,7,35
2015,6,8,32
2015,6,9,36
2015,6,10,34
2015,6,11,34
2015,6,12,33
2015,6,13,32
2015,6,14,35
2015,6,15,35
2015,6,16,31
2015,6,17,36
2015,6,18,32
2015,6,19,35
2015,6,20,28
2015,6,21,29
2015,6,22,37
2015,6,23,34
2015,6,24,38
2015,6,25,40
2015,6,26,33
2015,6,27,35
2015,6,28,34
2015,6,29,37
2015,6,30,36
2015,7,1,34
2015,7,2,32
2015,7,3,30
2015,7,4,26
2015,7,5,24
2015,7,6,23
2015,7,7,28
2015,7,8,25
2015,7,9,23
2015,7,10,24
2015,7,11,29
2015,7,12,27
2015,7,13,28
2015,7,14,28
2015,7,15,32
2015,7,16,26
2015,7,17,26
2015,7,18,28
2015,7,19,33
2015,7,20,33
2015,7,21,35
2015,7,22,30
2015,7,23,34
2015,7,24,28
2015,7,25,28
2015,7,26,26
2015,7,27,26
2015,7,28,31
2015,7,29,32
2015,7,30,29
2015,7,31,31
2015,8,1,30
2015,8,2,28
2015,8,3,30
2015,8,4,30
2015,8,5,30
2015,8,6,29
2015,8,7,28
2015,8,8,25
2015,8,9,26
2015,8,10,27
2015,8,11,28
2015,8,12,27
2015,8,13,35
2015,8,14,39
2015,8,15,33
2015,8,16,35
2015,8,17,35
2015,8,18,35
