Heat+E2710:E2738Index,Month,Day,HeatIndex,Year
2014.0,8,16,41.0,
2014.0,8,17,42.0,
2014.0,8,18,45.0,
2014.0,8,19,40.0,
2014.0,8,20,38.0,
2014.0,8,21,40.0,
2014.0,8,22,46.0,
2014.0,8,23,44.0,
2014.0,8,24,43.0,
2014.0,8,25,36.0,
2014.0,8,26,39.0,
2014.0,8,27,39.0,
2014.0,8,28,34.0,
2014.0,8,29,41.0,
2014.0,8,30,38.0,
2014.0,8,31,37.0,
2014.0,9,1,32.0,
2014.0,9,2,44.0,
2014.0,9,3,43.0,
2014.0,9,4,39.0,
2014.0,9,5,43.0,
2014.0,9,6,43.0,
2014.0,9,7,39.0,
2014.0,9,8,33.0,
2014.0,9,9,40.0,
2014.0,9,10,44.0,
2014.0,9,11,38.0,
2014.0,9,12,35.0,
2014.0,9,13,40.0,
2014.0,9,14,43.0,
2014.0,9,15,41.0,
2014.0,9,16,40.0,
2014.0,9,17,27.0,
2014.0,9,18,41.0,
2014.0,9,19,45.0,
2014.0,9,20,41.0,
2014.0,9,21,43.0,
2014.0,9,22,39.0,
2014.0,9,23,42.0,
2014.0,9,24,37.0,
2014.0,9,25,36.0,
2014.0,9,26,39.0,
2014.0,9,27,39.0,
2014.0,9,28,42.0,
2014.0,9,29,41.0,
2014.0,9,30,40.0,
2014.0,10,1,42.0,
2014.0,10,2,43.0,
2014.0,10,3,43.0,
2014.0,10,4,42.0,
2014.0,10,5,43.0,
2014.0,10,6,40.0,
2014.0,10,7,43.0,
2014.0,10,8,41.0,
2014.0,10,9,41.0,
2014.0,10,10,43.0,
2014.0,10,11,40.0,
2014.0,10,12,40.0,
2014.0,10,13,38.0,
2014.0,10,14,37.0,
2014.0,10,15,37.0,
2014.0,10,16,39.0,
2014.0,10,17,44.0,
2014.0,10,18,44.0,
2014.0,10,19,36.0,
2014.0,10,20,37.0,
2014.0,10,21,39.0,
2014.0,10,22,39.0,
2014.0,10,23,38.0,
2014.0,10,24,37.0,
2014.0,10,25,39.0,
2014.0,10,26,37.0,
2014.0,10,27,42.0,
2014.0,10,28,37.0,
2014.0,10,29,37.0,
2014.0,10,30,30.0,
2014.0,10,31,38.0,
2014.0,11,1,41.0,
2014.0,11,2,40.0,
2014.0,11,3,39.0,
2014.0,11,4,37.0,
2014.0,11,5,36.0,
2014.0,11,6,36.0,
2014.0,11,7,36.0,
2014.0,11,8,35.0,
