Year,Month,Day,HeatIndex
2014,12,6,23
2014,12,7,24
2014,12,8,24
2014,12,9,23
2014,12,10,22
2014,12,11,22
2014,12,12,24
2014,12,13,24
2014,12,14,23
2014,12,15,24
2014,12,16,24
2014,12,17,21
2014,12,18,21
2014,12,19,22
2014,12,20,24
2014,12,21,23
2014,12,22,23
2014,12,23,23
2014,12,24,22
2014,12,25,24
2014,12,26,24
2014,12,27,23
2014,12,28,22
2014,12,29,19
2014,12,30,22
2014,12,31,22
2015,1,1,21
2015,1,2,22
2015,1,3,22
2015,1,4,21
2015,1,5,23
2015,1,6,22
2015,1,7,22
2015,1,8,22
2015,1,9,21
2015,1,10,19
2015,1,11,22
2015,1,12,20
2015,1,13,20
2015,1,14,23
2015,1,15,21
2015,1,16,20
2015,1,17,20
2015,1,18,18
2015,1,19,21
2015,1,20,21
2015,1,21,19
2015,1,22,19
2015,1,23,19
2015,1,24,19
2015,1,25,22
2015,1,26,21
2015,1,27,21
2015,1,28,22
2015,1,29,24
2015,1,30,22
2015,1,31,20
2015,2,1,19
2015,2,2,19
2015,2,3,21
2015,2,4,19
2015,2,5,21
2015,2,6,20
2015,2,7,20
2015,2,8,22
2015,2,9,20
2015,2,10,19
2015,2,11,21
2015,2,12,21
2015,2,13,20
2015,2,14,22
2015,2,15,18
2015,2,16,23
2015,2,17,23
2015,2,18,24
2015,2,19,20
2015,2,20,23
2015,2,21,20
2015,2,22,22
2015,2,23,23
2015,2,24,26
2015,2,25,24
2015,2,26,25
2015,2,27,25
2015,2,28,25
2015,3,1,22
2015,3,2,23
2015,3,3,23
2015,3,4,23
2015,3,5,25
2015,3,6,25
2015,3,7,25
2015,3,8,25
2015,3,9,23
2015,3,10,23
2015,3,11,20
2015,3,12,22
2015,3,13,22
2015,3,14,21
2015,3,15,22
2015,3,16,21
2015,3,17,22
2015,3,18,24
2015,3,19,26
2015,3,20,26
2015,3,21,27
2015,3,22,22
2015,3,23,23
2015,3,24,24
2015,3,25,22
2015,3,26,20
2015,3,27,23
2015,3,28,23
2015,3,29,23
2015,3,30,25
2015,3,31,25
2015,4,1,27
2015,4,2,25
2015,4,3,28
2015,4,4,26
2015,4,5,22
2015,4,6,23
2015,4,7,25
2015,4,8,23
2015,4,9,23
2015,4,10,22
2015,4,11,24
2015,4,12,22
2015,4,13,22
2015,4,14,25
2015,4,15,23
2015,4,16,23
2015,4,17,25
2015,4,18,28
2015,4,19,26
2015,4,20,26
2015,4,21,24
2015,4,22,23
2015,4,23,25
2015,4,24,24
2015,4,25,22
2015,4,26,24
2015,4,27,24
2015,4,28,24
2015,4,29,26
2015,4,30,24
2015,5,1,26
2015,5,2,25
2015,5,3,26
2015,5,4,25
2015,5,5,25
2015,5,6,25
2015,5,7,24
2015,5,8,22
2015,5,9,27
2015,5,10,22
2015,5,11,23
2015,5,12,25
2015,5,13,25
2015,5,14,25
2015,5,15,25
2015,5,16,25
2015,5,17,24
2015,5,18,24
2015,5,19,24
2015,5,20,27
2015,5,21,25
2015,5,22,26
2015,5,23,26
2015,5,24,23
2015,5,25,25
2015,5,26,23
2015,5,27,22
2015,5,28,24
2015,5,29,23
2015,5,30,23
2015,5,31,23
2015,6,1,26
2015,6,2,27
2015,6,3,25
2015,6,4,25
2015,6,5,27
2015,6,6,27
2015,6,7,26
2015,6,8,24
2015,6,9,22
2015,6,10,24
2015,6,11,24
2015,6,12,25
2015,6,13,25
2015,6,14,25
2015,6,15,26
2015,6,16,25
2015,6,17,23
2015,6,18,25
2015,6,19,25
2015,6,20,24
2015,6,21,23
2015,6,22,22
2015,6,23,23
2015,6,24,24
