Year,Month,Day,HeatIndex
2014,12,6,29
2014,12,7,30
2014,12,8,31
2014,12,9,35
2014,12,10,36
2014,12,11,35
2014,12,12,31
2014,12,13,32
2014,12,14,35
2014,12,15,46
2014,12,16,31
2014,12,17,29
2014,12,18,31
2014,12,19,30
2014,12,20,32
2014,12,21,32
2014,12,22,31
2014,12,23,34
2014,12,24,38
2014,12,25,36
2014,12,26,35
2014,12,27,34
2014,12,28,33
2014,12,29,29
2014,12,30,30
2014,12,31,31
2015,1,1,28
2015,1,2,29
2015,1,3,31
2015,1,4,30
2015,1,5,31
2015,1,6,32
2015,1,7,32
2015,1,8,29
2015,1,9,29
2015,1,10,29
2015,1,11,30
2015,1,12,30
2015,1,13,30
2015,1,14,30
2015,1,15,30
2015,1,16,31
2015,1,17,29
2015,1,18,28
2015,1,19,27
2015,1,20,31
2015,1,21,26
2015,1,22,28
2015,1,23,30
2015,1,24,29
2015,1,25,30
2015,1,26,32
2015,1,27,30
2015,1,28,31
2015,1,29,31
2015,1,30,32
2015,1,31,30
2015,2,1,29
2015,2,2,30
2015,2,3,31
2015,2,4,30
2015,2,5,29
2015,2,6,28
2015,2,7,30
2015,2,8,26
2015,2,9,29
2015,2,10,29
2015,2,11,29
2015,2,12,27
2015,2,13,32
2015,2,14,35
2015,2,15,30
2015,2,16,32
2015,2,17,33
2015,2,18,34
2015,2,19,33
2015,2,20,30
2015,2,21,32
2015,2,22,32
2015,2,23,31
2015,2,24,33
2015,2,25,33
2015,2,26,33
2015,2,27,34
2015,2,28,34
2015,3,1,34
2015,3,2,32
2015,3,3,32
2015,3,4,33
2015,3,5,34
2015,3,6,34
2015,3,7,32
2015,3,8,33
2015,3,9,33
2015,3,10,34
2015,3,11,34
2015,3,12,33
2015,3,13,33
2015,3,14,34
2015,3,15,34
2015,3,16,33
2015,3,17,34
2015,3,18,34
2015,3,19,32
2015,3,20,34
2015,3,21,37
2015,3,22,37
2015,3,23,33
2015,3,24,37
2015,3,25,37
2015,3,26,36
2015,3,27,37
2015,3,28,35
2015,3,29,38
2015,3,30,36
2015,3,31,36
2015,4,1,37
2015,4,2,38
2015,4,3,38
2015,4,4,39
